date,location,latitude,longitude,temperature_c,humidity_pct,rainfall_mm,weather_condition,is_rainy,heavy_rain_flag,high_humidity_flag,weather_risk
2026-01-09,Madurai,9.93,78.12,31.87,70.58,11.6,Rain,1,0,0,Moderate
2026-01-09,Salem,11.66,78.15,30.28,58.6,9.94,Rain,1,0,0,Moderate
2026-01-09,Tirunelveli,8.71,77.76,27.63,61.52,4.88,Light Rain,1,0,0,Moderate
2026-01-09,Trichy,10.79,78.7,32.78,77.57,6.63,Light Rain,1,0,0,Moderate
2026-01-09,Vellore,12.92,79.13,30.08,49.76,2.83,Light Rain,1,0,0,Moderate
2026-01-10,Chennai,13.08,80.27,25.95,100.0,14.2,Rain,1,0,1,Moderate
2026-01-10,Coimbatore,11.02,76.96,28.99,59.31,6.91,Light Rain,1,0,0,Moderate
2026-01-10,Erode,11.34,77.72,30.24,67.84,6.81,Light Rain,1,0,0,Moderate
2026-01-10,Madurai,9.93,78.12,26.66,70.78,3.67,Light Rain,1,0,0,Moderate
2026-01-10,Salem,11.66,78.15,27.7,70.99,2.89,Light Rain,1,0,0,Moderate
2026-01-10,Tirunelveli,8.71,77.76,30.66,62.55,6.63,Light Rain,1,0,0,Moderate
2026-01-10,Trichy,10.79,78.7,25.99,52.07,0.96,Clear,1,0,0,Moderate
2026-01-10,Vellore,12.92,79.13,26.94,63.63,7.75,Light Rain,1,0,0,Moderate
2026-01-11,Chennai,13.08,80.27,29.97,54.43,4.95,Light Rain,1,0,0,Moderate
2026-01-11,Coimbatore,11.02,76.96,33.01,56.2,1.68,Clear,1,0,0,Moderate
2026-01-11,Erode,11.34,77.72,32.77,75.76,5.9,Light Rain,1,0,0,Moderate
2026-01-11,Madurai,9.93,78.12,26.47,75.66,0.5,Clear,1,0,0,Moderate
2026-01-11,Salem,11.66,78.15,26.81,66.67,1.05,Clear,1,0,0,Moderate
2026-01-11,Tirunelveli,8.71,77.76,32.82,56.75,2.86,Light Rain,1,0,0,Moderate
2026-01-11,Trichy,10.79,78.7,24.43,81.19,10.72,Rain,1,0,1,Moderate
2026-01-11,Vellore,12.92,79.13,30.21,60.44,1.58,Clear,1,0,0,Moderate
2026-01-12,Chennai,13.08,80.27,26.24,69.48,1.68,Clear,1,0,0,Moderate
2026-01-12,Coimbatore,11.02,76.96,27.58,83.23,6.57,Light Rain,1,0,1,Moderate
2026-01-12,Erode,11.34,77.72,28.37,60.53,13.08,Rain,1,0,0,Moderate
2026-01-12,Madurai,9.93,78.12,32.17,74.65,0.52,Clear,1,0,0,Moderate
2026-01-12,Salem,11.66,78.15,34.72,60.64,0.64,Clear,1,0,0,Moderate
2026-01-12,Tirunelveli,8.71,77.76,30.87,68.99,3.08,Light Rain,1,0,0,Moderate
2026-01-12,Trichy,10.79,78.7,30.92,63.98,14.13,Rain,1,0,0,Moderate
2026-01-12,Vellore,12.92,79.13,31.45,78.19,15.2,Rain,1,0,0,Moderate
2026-01-13,Chennai,13.08,80.27,25.83,74.61,5.5,Light Rain,1,0,0,Moderate
2026-01-13,Coimbatore,11.02,76.96,29.44,60.09,9.06,Rain,1,0,0,Moderate
2026-01-13,Erode,11.34,77.72,27.87,54.85,0.86,Clear,1,0,0,Moderate
2026-01-13,Madurai,9.93,78.12,33.14,82.86,7.0,Light Rain,1,0,1,Moderate
2026-01-13,Salem,11.66,78.15,28.96,51.06,1.86,Clear,1,0,0,Moderate
2026-01-13,Tirunelveli,8.71,77.76,32.58,75.14,1.93,Clear,1,0,0,Moderate
2026-01-13,Trichy,10.79,78.7,24.41,66.84,3.13,Light Rain,1,0,0,Moderate
2026-01-13,Vellore,12.92,79.13,36.21,88.08,4.01,Light Rain,1,0,1,Moderate
2026-01-14,Chennai,13.08,80.27,30.1,66.81,8.28,Rain,1,0,0,Moderate
2026-01-14,Coimbatore,11.02,76.96,28.3,69.68,4.27,Light Rain,1,0,0,Moderate
2026-01-14,Erode,11.34,77.72,28.76,56.45,5.52,Light Rain,1,0,0,Moderate
2026-01-14,Madurai,9.93,78.12,30.42,80.79,3.44,Light Rain,1,0,1,Moderate
2026-01-14,Salem,11.66,78.15,24.45,69.09,8.2,Rain,1,0,0,Moderate
2026-01-14,Tirunelveli,8.71,77.76,32.51,54.69,8.7,Rain,1,0,0,Moderate
2026-01-14,Trichy,10.79,78.7,26.99,61.81,1.87,Clear,1,0,0,Moderate
2026-01-14,Vellore,12.92,79.13,28.69,61.04,3.07,Light Rain,1,0,0,Moderate
2026-01-15,Chennai,13.08,80.27,29.83,73.13,6.23,Light Rain,1,0,0,Moderate
2026-01-15,Coimbatore,11.02,76.96,29.63,86.85,7.78,Light Rain,1,0,1,Moderate
2026-01-15,Erode,11.34,77.72,28.32,55.33,1.0,Clear,1,0,0,Moderate
2026-01-15,Madurai,9.93,78.12,24.53,55.25,1.51,Clear,1,0,0,Moderate
2026-01-15,Salem,11.66,78.15,30.19,66.86,5.88,Light Rain,1,0,0,Moderate
2026-01-15,Tirunelveli,8.71,77.76,32.92,55.18,1.13,Clear,1,0,0,Moderate
2026-01-15,Trichy,10.79,78.7,27.04,80.19,3.47,Light Rain,1,0,1,Moderate
2026-01-15,Vellore,12.92,79.13,28.53,93.23,8.53,Rain,1,0,1,Moderate
2026-01-16,Chennai,13.08,80.27,29.91,61.7,0.3,Clear,1,0,0,Moderate
2026-01-16,Coimbatore,11.02,76.96,28.71,86.5,0.5,Cloudy,1,0,1,Moderate
2026-01-16,Erode,11.34,77.72,32.4,69.44,4.25,Light Rain,1,0,0,Moderate
2026-01-16,Madurai,9.93,78.12,30.15,75.47,5.11,Light Rain,1,0,0,Moderate
2026-01-16,Salem,11.66,78.15,29.05,71.34,9.19,Rain,1,0,0,Moderate
2026-01-16,Tirunelveli,8.71,77.76,29.58,48.57,11.41,Rain,1,0,0,Moderate
2026-01-16,Trichy,10.79,78.7,26.89,69.37,5.24,Light Rain,1,0,0,Moderate
2026-01-16,Vellore,12.92,79.13,26.81,77.59,4.74,Light Rain,1,0,0,Moderate
2026-01-17,Chennai,13.08,80.27,30.67,96.67,4.53,Light Rain,1,0,1,Moderate
2026-01-17,Coimbatore,11.02,76.96,30.9,53.52,2.05,Light Rain,1,0,0,Moderate
2026-01-17,Erode,11.34,77.72,27.62,50.16,3.01,Light Rain,1,0,0,Moderate
2026-01-17,Madurai,9.93,78.12,31.5,80.12,7.73,Light Rain,1,0,1,Moderate
2026-01-17,Salem,11.66,78.15,29.21,57.68,12.14,Rain,1,0,0,Moderate
2026-01-17,Tirunelveli,8.71,77.76,32.17,60.27,3.46,Light Rain,1,0,0,Moderate
2026-01-17,Trichy,10.79,78.7,30.65,75.81,2.69,Light Rain,1,0,0,Moderate
2026-01-17,Vellore,12.92,79.13,28.65,65.55,3.3,Light Rain,1,0,0,Moderate
2026-01-18,Chennai,13.08,80.27,29.89,67.71,1.6,Clear,1,0,0,Moderate
2026-01-18,Coimbatore,11.02,76.96,29.4,56.31,6.52,Light Rain,1,0,0,Moderate
2026-01-18,Erode,11.34,77.72,30.65,61.05,6.21,Light Rain,1,0,0,Moderate
2026-01-18,Madurai,9.93,78.12,29.05,68.89,5.28,Light Rain,1,0,0,Moderate
2026-01-18,Salem,11.66,78.15,29.46,56.19,9.18,Rain,1,0,0,Moderate
2026-01-18,Tirunelveli,8.71,77.76,30.52,70.48,3.73,Light Rain,1,0,0,Moderate
2026-01-18,Trichy,10.79,78.7,26.73,69.44,2.52,Light Rain,1,0,0,Moderate
2026-01-18,Vellore,12.92,79.13,29.78,76.23,11.41,Rain,1,0,0,Moderate
2026-01-19,Chennai,13.08,80.27,32.06,41.05,2.8,Light Rain,1,0,0,Moderate
2026-01-19,Coimbatore,11.02,76.96,27.2,63.41,4.91,Light Rain,1,0,0,Moderate
2026-01-19,Erode,11.34,77.72,32.34,41.33,2.66,Light Rain,1,0,0,Moderate
2026-01-19,Madurai,9.93,78.12,30.44,64.21,1.45,Clear,1,0,0,Moderate
2026-01-19,Salem,11.66,78.15,29.14,59.82,1.91,Clear,1,0,0,Moderate
2026-01-19,Tirunelveli,8.71,77.76,32.02,62.02,4.82,Light Rain,1,0,0,Moderate
2026-01-19,Trichy,10.79,78.7,26.54,60.73,7.43,Light Rain,1,0,0,Moderate
2026-01-19,Vellore,12.92,79.13,29.69,56.32,8.83,Rain,1,0,0,Moderate
2026-01-20,Chennai,13.08,80.27,35.58,47.66,8.58,Rain,1,0,0,Moderate
2026-01-20,Coimbatore,11.02,76.96,25.83,67.84,2.1,Light Rain,1,0,0,Moderate
2026-01-20,Erode,11.34,77.72,27.79,71.03,1.69,Clear,1,0,0,Moderate
2026-01-20,Madurai,9.93,78.12,32.45,70.15,4.73,Light Rain,1,0,0,Moderate
2026-01-20,Salem,11.66,78.15,30.7,88.23,4.99,Light Rain,1,0,1,Moderate
2026-01-20,Tirunelveli,8.71,77.76,27.62,59.31,7.37,Light Rain,1,0,0,Moderate
2026-01-20,Trichy,10.79,78.7,27.53,56.8,5.66,Light Rain,1,0,0,Moderate
2026-01-20,Vellore,12.92,79.13,30.64,73.31,1.06,Clear,1,0,0,Moderate
2026-01-21,Chennai,13.08,80.27,28.77,81.85,6.08,Light Rain,1,0,1,Moderate
2026-01-21,Coimbatore,11.02,76.96,31.66,51.57,14.42,Rain,1,0,0,Moderate
2026-01-21,Erode,11.34,77.72,33.16,75.95,1.75,Clear,1,0,0,Moderate
2026-01-21,Madurai,9.93,78.12,28.95,60.99,2.68,Light Rain,1,0,0,Moderate
2026-01-21,Salem,11.66,78.15,33.26,82.74,7.57,Light Rain,1,0,1,Moderate
2026-01-21,Tirunelveli,8.71,77.76,32.01,82.35,13.13,Rain,1,0,1,Moderate
2026-01-21,Trichy,10.79,78.7,23.48,67.01,7.71,Light Rain,1,0,0,Moderate
2026-01-21,Vellore,12.92,79.13,28.47,76.35,11.2,Rain,1,0,0,Moderate
2026-01-22,Chennai,13.08,80.27,31.63,60.54,9.92,Rain,1,0,0,Moderate
2026-01-22,Coimbatore,11.02,76.96,26.59,92.31,0.63,Cloudy,1,0,1,Moderate
2026-01-22,Erode,11.34,77.72,25.84,57.7,1.57,Clear,1,0,0,Moderate
2026-01-22,Madurai,9.93,78.12,23.53,77.15,1.27,Clear,1,0,0,Moderate
2026-01-22,Salem,11.66,78.15,28.08,60.94,5.65,Light Rain,1,0,0,Moderate
2026-01-22,Tirunelveli,8.71,77.76,24.42,63.57,3.31,Light Rain,1,0,0,Moderate
2026-01-22,Trichy,10.79,78.7,28.86,78.2,1.71,Clear,1,0,0,Moderate
2026-01-22,Vellore,12.92,79.13,27.16,59.54,21.64,Rain,1,1,0,High
2026-01-23,Chennai,13.08,80.27,30.65,74.85,2.96,Light Rain,1,0,0,Moderate
2026-01-23,Coimbatore,11.02,76.96,27.9,66.94,8.21,Rain,1,0,0,Moderate
2026-01-23,Erode,11.34,77.72,36.09,73.01,2.16,Light Rain,1,0,0,Moderate
2026-01-23,Madurai,9.93,78.12,29.29,53.57,5.74,Light Rain,1,0,0,Moderate
2026-01-23,Salem,11.66,78.15,30.51,74.77,8.9,Rain,1,0,0,Moderate
2026-01-23,Tirunelveli,8.71,77.76,26.17,60.12,7.53,Light Rain,1,0,0,Moderate
2026-01-23,Trichy,10.79,78.7,31.59,44.73,1.81,Clear,1,0,0,Moderate
2026-01-23,Vellore,12.92,79.13,30.89,74.82,4.91,Light Rain,1,0,0,Moderate
2026-01-24,Chennai,13.08,80.27,23.74,66.39,6.17,Light Rain,1,0,0,Moderate
2026-01-24,Coimbatore,11.02,76.96,29.74,64.53,4.02,Light Rain,1,0,0,Moderate
2026-01-24,Erode,11.34,77.72,24.59,62.0,10.4,Rain,1,0,0,Moderate
2026-01-24,Madurai,9.93,78.12,31.3,77.97,7.02,Light Rain,1,0,0,Moderate
2026-01-24,Salem,11.66,78.15,30.43,63.52,0.83,Clear,1,0,0,Moderate
2026-01-24,Tirunelveli,8.71,77.76,31.4,69.01,2.74,Light Rain,1,0,0,Moderate
2026-01-24,Trichy,10.79,78.7,29.04,66.39,3.5,Light Rain,1,0,0,Moderate
2026-01-24,Vellore,12.92,79.13,34.55,39.11,10.57,Rain,1,0,0,Moderate
2026-01-25,Chennai,13.08,80.27,28.12,42.34,9.79,Rain,1,0,0,Moderate
2026-01-25,Coimbatore,11.02,76.96,27.98,69.68,5.5,Light Rain,1,0,0,Moderate
2026-01-25,Erode,11.34,77.72,30.53,70.11,1.36,Clear,1,0,0,Moderate
2026-01-25,Madurai,9.93,78.12,23.92,71.16,7.87,Light Rain,1,0,0,Moderate
2026-01-25,Salem,11.66,78.15,27.99,79.35,3.94,Light Rain,1,0,0,Moderate
2026-01-25,Tirunelveli,8.71,77.76,30.3,74.66,7.6,Light Rain,1,0,0,Moderate
2026-01-25,Trichy,10.79,78.7,27.1,54.36,4.77,Light Rain,1,0,0,Moderate
2026-01-25,Vellore,12.92,79.13,25.78,84.95,6.13,Light Rain,1,0,1,Moderate
2026-01-26,Chennai,13.08,80.27,31.46,91.53,9.1,Rain,1,0,1,Moderate
2026-01-26,Coimbatore,11.02,76.96,30.27,99.23,13.65,Rain,1,0,1,Moderate
2026-01-26,Erode,11.34,77.72,28.19,87.75,13.26,Rain,1,0,1,Moderate
2026-01-26,Madurai,9.93,78.12,31.01,62.42,9.04,Rain,1,0,0,Moderate
2026-01-26,Salem,11.66,78.15,30.24,62.8,2.26,Light Rain,1,0,0,Moderate
2026-01-26,Tirunelveli,8.71,77.76,29.53,67.07,5.51,Light Rain,1,0,0,Moderate
2026-01-26,Trichy,10.79,78.7,28.95,67.69,0.8,Clear,1,0,0,Moderate
2026-01-26,Vellore,12.92,79.13,26.65,75.39,11.37,Rain,1,0,0,Moderate
2026-01-27,Chennai,13.08,80.27,31.8,68.41,5.95,Light Rain,1,0,0,Moderate
2026-01-27,Coimbatore,11.02,76.96,33.26,63.52,23.13,Rain,1,1,0,High
2026-01-27,Erode,11.34,77.72,24.88,32.19,0.31,Clear,1,0,0,Moderate
2026-01-27,Madurai,9.93,78.12,29.56,55.42,0.81,Clear,1,0,0,Moderate
2026-01-27,Salem,11.66,78.15,35.1,72.25,6.96,Light Rain,1,0,0,Moderate
2026-01-27,Tirunelveli,8.71,77.76,28.65,68.46,3.43,Light Rain,1,0,0,Moderate
2026-01-27,Trichy,10.79,78.7,27.91,77.76,2.29,Light Rain,1,0,0,Moderate
2026-01-27,Vellore,12.92,79.13,24.97,78.8,0.84,Clear,1,0,0,Moderate
2026-01-28,Chennai,13.08,80.27,27.72,73.55,10.52,Rain,1,0,0,Moderate
2026-01-28,Coimbatore,11.02,76.96,32.61,59.97,0.19,Clear,1,0,0,Moderate
2026-01-28,Erode,11.34,77.72,30.87,71.07,1.26,Clear,1,0,0,Moderate
2026-01-28,Madurai,9.93,78.12,28.37,90.29,5.09,Light Rain,1,0,1,Moderate
2026-01-28,Salem,11.66,78.15,26.39,93.43,3.47,Light Rain,1,0,1,Moderate
2026-01-28,Tirunelveli,8.71,77.76,37.66,38.77,6.91,Light Rain,1,0,0,Moderate
2026-01-28,Trichy,10.79,78.7,29.04,39.06,3.36,Light Rain,1,0,0,Moderate
2026-01-28,Vellore,12.92,79.13,31.31,69.57,4.91,Light Rain,1,0,0,Moderate
2026-01-29,Chennai,13.08,80.27,33.34,67.52,1.67,Clear,1,0,0,Moderate
2026-01-29,Coimbatore,11.02,76.96,26.12,78.61,12.71,Rain,1,0,0,Moderate
2026-01-29,Erode,11.34,77.72,32.4,67.97,2.16,Light Rain,1,0,0,Moderate
2026-01-29,Madurai,9.93,78.12,28.58,63.94,7.32,Light Rain,1,0,0,Moderate
2026-01-29,Salem,11.66,78.15,28.08,62.62,4.68,Light Rain,1,0,0,Moderate
2026-01-29,Tirunelveli,8.71,77.76,21.83,78.64,1.51,Clear,1,0,0,Moderate
2026-01-29,Trichy,10.79,78.7,32.75,69.2,3.44,Light Rain,1,0,0,Moderate
2026-01-29,Vellore,12.92,79.13,26.56,71.76,4.4,Light Rain,1,0,0,Moderate
2026-01-30,Chennai,13.08,80.27,27.4,75.98,6.21,Light Rain,1,0,0,Moderate
2026-01-30,Coimbatore,11.02,76.96,33.15,90.2,1.82,Cloudy,1,0,1,Moderate
2026-01-30,Erode,11.34,77.72,26.13,58.56,10.7,Rain,1,0,0,Moderate
2026-01-30,Madurai,9.93,78.12,23.53,66.82,2.16,Light Rain,1,0,0,Moderate
2026-01-30,Salem,11.66,78.15,28.21,62.78,7.33,Light Rain,1,0,0,Moderate
2026-01-30,Tirunelveli,8.71,77.76,31.18,58.47,1.97,Clear,1,0,0,Moderate
2026-01-30,Trichy,10.79,78.7,27.1,87.08,10.54,Rain,1,0,1,Moderate
2026-01-30,Vellore,12.92,79.13,31.03,80.79,3.08,Light Rain,1,0,1,Moderate
2026-01-31,Chennai,13.08,80.27,31.43,61.55,2.6,Light Rain,1,0,0,Moderate
2026-01-31,Coimbatore,11.02,76.96,25.95,60.13,3.52,Light Rain,1,0,0,Moderate
2026-01-31,Erode,11.34,77.72,34.19,89.1,1.42,Cloudy,1,0,1,Moderate
2026-01-31,Madurai,9.93,78.12,29.44,76.55,8.57,Rain,1,0,0,Moderate
2026-01-31,Salem,11.66,78.15,32.81,61.15,13.77,Rain,1,0,0,Moderate
2026-01-31,Tirunelveli,8.71,77.76,28.65,78.8,5.42,Light Rain,1,0,0,Moderate
2026-01-31,Trichy,10.79,78.7,32.24,72.76,1.86,Clear,1,0,0,Moderate
2026-01-31,Vellore,12.92,79.13,23.61,75.76,9.67,Rain,1,0,0,Moderate
2026-02-01,Chennai,13.08,80.27,30.12,48.87,5.42,Light Rain,1,0,0,Moderate
2026-02-01,Coimbatore,11.02,76.96,31.5,49.73,0.73,Clear,1,0,0,Moderate
2026-02-01,Erode,11.34,77.72,27.42,60.36,2.2,Light Rain,1,0,0,Moderate
2026-02-01,Madurai,9.93,78.12,31.53,73.83,8.73,Rain,1,0,0,Moderate
2026-02-01,Salem,11.66,78.15,26.23,63.02,1.46,Clear,1,0,0,Moderate
2026-02-01,Tirunelveli,8.71,77.76,35.77,87.29,4.99,Light Rain,1,0,1,Moderate
2026-02-01,Trichy,10.79,78.7,29.06,82.09,6.4,Light Rain,1,0,1,Moderate
2026-02-01,Vellore,12.92,79.13,24.45,68.75,3.81,Light Rain,1,0,0,Moderate
2026-02-02,Chennai,13.08,80.27,25.66,84.19,10.6,Rain,1,0,1,Moderate
2026-02-02,Coimbatore,11.02,76.96,26.65,64.29,1.51,Clear,1,0,0,Moderate
2026-02-02,Erode,11.34,77.72,27.47,63.65,5.71,Light Rain,1,0,0,Moderate
2026-02-02,Madurai,9.93,78.12,31.22,71.4,8.59,Rain,1,0,0,Moderate
2026-02-02,Salem,11.66,78.15,25.08,75.53,1.07,Clear,1,0,0,Moderate
2026-02-02,Tirunelveli,8.71,77.76,26.6,73.55,13.62,Rain,1,0,0,Moderate
2026-02-02,Trichy,10.79,78.7,27.82,51.08,2.02,Light Rain,1,0,0,Moderate
2026-02-02,Vellore,12.92,79.13,30.14,85.34,7.83,Light Rain,1,0,1,Moderate
2026-02-03,Chennai,13.08,80.27,24.64,52.6,1.87,Clear,1,0,0,Moderate
2026-02-03,Coimbatore,11.02,76.96,31.23,65.32,1.49,Clear,1,0,0,Moderate
2026-02-03,Erode,11.34,77.72,26.24,43.94,4.84,Light Rain,1,0,0,Moderate
2026-02-03,Madurai,9.93,78.12,27.97,59.93,9.78,Rain,1,0,0,Moderate
2026-02-03,Salem,11.66,78.15,34.71,81.59,1.95,Cloudy,1,0,1,Moderate
2026-02-03,Tirunelveli,8.71,77.76,29.12,45.3,2.42,Light Rain,1,0,0,Moderate
2026-02-03,Trichy,10.79,78.7,29.63,62.99,5.83,Light Rain,1,0,0,Moderate
2026-02-03,Vellore,12.92,79.13,32.98,63.11,5.59,Light Rain,1,0,0,Moderate
2026-02-04,Chennai,13.08,80.27,23.96,54.2,21.12,Rain,1,1,0,High
2026-02-04,Coimbatore,11.02,76.96,35.59,72.12,2.84,Light Rain,1,0,0,Moderate
2026-02-04,Erode,11.34,77.72,29.68,70.62,9.0,Rain,1,0,0,Moderate
2026-02-04,Madurai,9.93,78.12,26.84,70.87,6.41,Light Rain,1,0,0,Moderate
2026-02-04,Salem,11.66,78.15,28.16,72.38,18.85,Rain,1,0,0,Moderate
2026-02-04,Tirunelveli,8.71,77.76,27.23,64.88,2.51,Light Rain,1,0,0,Moderate
2026-02-04,Trichy,10.79,78.7,34.57,51.36,1.27,Clear,1,0,0,Moderate
2026-02-04,Vellore,12.92,79.13,29.4,68.71,10.59,Rain,1,0,0,Moderate
2026-02-05,Chennai,13.08,80.27,31.69,69.7,5.79,Light Rain,1,0,0,Moderate
2026-02-05,Coimbatore,11.02,76.96,25.74,55.16,3.91,Light Rain,1,0,0,Moderate
2026-02-05,Erode,11.34,77.72,28.89,47.37,6.44,Light Rain,1,0,0,Moderate
2026-02-05,Madurai,9.93,78.12,27.07,72.66,3.59,Light Rain,1,0,0,Moderate
2026-02-05,Salem,11.66,78.15,31.23,48.58,0.82,Clear,1,0,0,Moderate
2026-02-05,Tirunelveli,8.71,77.76,27.01,70.31,0.86,Clear,1,0,0,Moderate
