order_id,customer_id,warehouse_id,driver_id,vehicle_id,order_date,region,order_status,delivery_status,order_value,delivery_distance_km,promised_delivery_time_min,actual_delivery_time_min,delivery_delay_min,is_delayed,delivery_per_km_value,order_day_of_week,order_month,order_day,is_weekend,distance_bucket,order_value_bucket,temperature_c,humidity_pct,rainfall_mm,weather_condition,is_rainy,heavy_rain_flag,high_humidity_flag,weather_risk,delay_ratio,delivery_efficiency,delivery_risk,weather_delay_risk
ORD003418,CUST0965,WH010,DRV0059,VEH0119,2026-01-01,Erode,Confirmed,Delivered,740.48,42.85,221.03,216.0,0.0,0,17.28,Thursday,1,1,0,Very Long,High,28.84,58.44,4.9,Light Rain,1,0,0,Moderate,0.0,1.023,Low,1
ORD001585,CUST0537,WH009,DRV0104,VEH0084,2026-01-01,Trichy,Processing,Delivered,328.27,5.09,35.99,36.22,0.23,1,64.49,Thursday,1,1,0,Medium,Medium,28.95,93.45,10.9,Rain,1,0,1,Moderate,0.006,0.994,Medium,2
ORD001850,CUST0269,WH008,DRV0030,VEH0106,2026-01-01,Madurai,Dispatched,Delayed,139.2,15.52,94.97,110.54,15.57,1,8.97,Thursday,1,1,0,Long,Low,29.52,91.48,0.96,Cloudy,1,0,1,Moderate,0.164,0.859,Medium,2
ORD001985,CUST0233,WH008,DRV0130,VEH0031,2026-01-01,Coimbatore,Processing,Delivered,112.11,17.87,110.94,119.93,8.99,1,6.27,Thursday,1,1,0,Long,Low,23.75,78.85,13.0,Rain,1,0,0,Moderate,0.081,0.925,Medium,2
ORD002986,CUST0662,WH005,DRV0176,VEH0057,2026-01-01,Tirunelveli,Dispatched,Delivered,229.2,17.55,88.92,98.14,9.22,1,13.06,Thursday,1,1,0,Long,Low,22.6,50.26,4.63,Light Rain,1,0,0,Moderate,0.104,0.906,Medium,2
ORD002167,CUST0272,WH001,DRV0041,VEH0158,2026-01-01,Erode,Processing,Delayed,295.28,26.84,132.81,138.26,5.45,1,11.0,Thursday,1,1,0,Long,Medium,28.84,58.44,4.9,Light Rain,1,0,0,Moderate,0.041,0.961,Medium,2
ORD004329,CUST0081,WH010,DRV0002,VEH0028,2026-01-01,Vellore,Confirmed,Delivered,118.08,11.22,101.4,90.57,0.0,0,10.52,Thursday,1,1,0,Medium,Low,35.1,72.8,5.28,Light Rain,1,0,0,Moderate,0.0,1.12,Low,1
ORD000422,CUST0909,WH003,DRV0090,VEH0197,2026-01-01,Vellore,Cancelled,Cancelled,157.29,11.53,,,,0,13.64,Thursday,1,1,0,Medium,Low,35.1,72.8,5.28,Light Rain,1,0,0,Moderate,,,Low,1
ORD004646,CUST0067,WH004,DRV0023,VEH0085,2026-01-01,Vellore,Confirmed,Delayed,189.57,22.26,107.1,101.82,0.0,1,8.52,Thursday,1,1,0,Long,Low,35.1,72.8,5.28,Light Rain,1,0,0,Moderate,0.0,1.052,Medium,2
ORD000338,CUST0983,WH004,DRV0060,VEH0091,2026-01-01,Madurai,Processing,Delivered,103.08,32.71,196.39,174.03,0.0,0,3.15,Thursday,1,1,0,Very Long,Low,29.52,91.48,0.96,Cloudy,1,0,1,Moderate,0.0,1.128,Low,1
ORD001344,CUST0386,WH001,DRV0008,VEH0150,2026-01-02,Salem,Confirmed,Delivered,242.03,3.85,44.07,43.36,0.0,0,62.86,Friday,1,2,0,Short,Low,29.3,67.22,1.22,Clear,1,0,0,Moderate,0.0,1.016,Low,1
ORD003621,CUST0123,WH004,DRV0142,VEH0003,2026-01-02,Vellore,Processing,Delivered,147.52,9.56,63.5,57.01,0.0,0,15.43,Friday,1,2,0,Medium,Low,31.77,62.13,9.02,Rain,1,0,0,Moderate,0.0,1.114,Low,1
ORD002223,CUST0254,WH009,DRV0096,VEH0200,2026-01-02,Chennai,Dispatched,Delivered,152.88,14.34,72.89,76.47,3.58,1,10.66,Friday,1,2,0,Medium,Low,30.92,87.92,2.01,Light Rain,1,0,1,Moderate,0.049,0.953,Medium,2
ORD004772,CUST0253,WH009,DRV0129,VEH0171,2026-01-02,Salem,Dispatched,Delivered,100.0,13.17,66.96,72.61,5.65,1,7.59,Friday,1,2,0,Medium,Low,29.3,67.22,1.22,Clear,1,0,0,Moderate,0.084,0.922,Medium,2
ORD001739,CUST0391,WH006,DRV0016,VEH0014,2026-01-02,Coimbatore,Dispatched,Delivered,100.0,35.69,198.53,221.56,23.03,1,2.8,Friday,1,2,0,Very Long,Low,30.36,67.62,2.16,Light Rain,1,0,0,Moderate,0.116,0.896,Medium,2
ORD004260,CUST0312,WH005,DRV0079,VEH0175,2026-01-02,Salem,Confirmed,Delivered,100.0,14.96,91.22,87.38,0.0,0,6.68,Friday,1,2,0,Medium,Low,29.3,67.22,1.22,Clear,1,0,0,Moderate,0.0,1.044,Low,1
ORD001621,CUST0618,WH003,DRV0160,VEH0059,2026-01-02,Trichy,Dispatched,Delivered,182.6,6.27,30.07,27.95,0.0,0,29.12,Friday,1,2,0,Medium,Low,23.89,53.55,1.09,Clear,1,0,0,Moderate,0.0,1.076,Low,1
ORD001996,CUST0711,WH001,DRV0017,VEH0178,2026-01-02,Trichy,Dispatched,Delivered,100.0,12.38,68.3,64.37,0.0,0,8.08,Friday,1,2,0,Medium,Low,23.89,53.55,1.09,Clear,1,0,0,Moderate,0.0,1.061,Low,1
ORD002174,CUST0272,WH007,DRV0069,VEH0137,2026-01-02,Coimbatore,Confirmed,In Transit,223.56,6.85,63.6,72.93,9.33,1,32.64,Friday,1,2,0,Medium,Low,30.36,67.62,2.16,Light Rain,1,0,0,Moderate,0.147,0.872,Medium,2
ORD001486,CUST0268,WH003,DRV0125,VEH0023,2026-01-02,Tirunelveli,Dispatched,Delivered,301.71,11.59,114.82,105.27,0.0,0,26.03,Friday,1,2,0,Medium,Medium,29.32,83.8,0.64,Cloudy,1,0,1,Moderate,0.0,1.091,Low,1
ORD003866,CUST0948,WH001,DRV0009,VEH0198,2026-01-02,Tirunelveli,Dispatched,Delayed,206.4,23.57,109.92,117.39,7.47,1,8.76,Friday,1,2,0,Long,Low,29.32,83.8,0.64,Cloudy,1,0,1,Moderate,0.068,0.936,Medium,2
ORD002649,CUST0533,WH007,DRV0023,VEH0028,2026-01-02,Madurai,Dispatched,Delivered,112.8,13.35,58.78,64.27,5.49,1,8.45,Friday,1,2,0,Medium,Low,30.47,70.26,2.06,Light Rain,1,0,0,Moderate,0.093,0.915,Medium,2
ORD000063,CUST0814,WH004,DRV0066,VEH0070,2026-01-02,Vellore,Processing,Delivered,100.0,18.47,65.45,68.16,2.71,1,5.41,Friday,1,2,0,Long,Low,31.77,62.13,9.02,Rain,1,0,0,Moderate,0.041,0.96,Medium,2
ORD003920,CUST0740,WH002,DRV0050,VEH0142,2026-01-02,Salem,Dispatched,Delivered,220.71,17.55,88.89,103.4,14.51,1,12.58,Friday,1,2,0,Long,Low,29.3,67.22,1.22,Clear,1,0,0,Moderate,0.163,0.86,Medium,2
ORD003177,CUST0522,WH006,DRV0190,VEH0047,2026-01-02,Erode,Dispatched,Delivered,324.94,17.65,125.25,129.17,3.92,1,18.41,Friday,1,2,0,Long,Medium,27.72,66.62,4.93,Light Rain,1,0,0,Moderate,0.031,0.97,Medium,2
ORD001726,CUST0598,WH009,DRV0145,VEH0074,2026-01-02,Vellore,Processing,Delivered,289.92,17.95,115.1,111.73,0.0,0,16.15,Friday,1,2,0,Long,Medium,31.77,62.13,9.02,Rain,1,0,0,Moderate,0.0,1.03,Low,1
ORD001448,CUST0204,WH010,DRV0008,VEH0147,2026-01-02,Chennai,Dispatched,In Transit,199.97,12.49,84.32,78.26,0.0,0,16.01,Friday,1,2,0,Medium,Low,30.92,87.92,2.01,Light Rain,1,0,1,Moderate,0.0,1.077,Low,1
ORD000098,CUST0603,WH005,DRV0065,VEH0088,2026-01-03,Salem,Dispatched,Delivered,294.49,6.91,69.01,70.34,1.33,1,42.62,Saturday,1,3,1,Medium,Medium,32.56,73.11,4.19,Light Rain,1,0,0,Moderate,0.019,0.981,Medium,2
ORD001405,CUST0629,WH002,DRV0109,VEH0044,2026-01-03,Tirunelveli,Dispatched,Delivered,125.88,15.66,98.56,105.84,7.28,1,8.04,Saturday,1,3,1,Long,Low,29.22,60.4,1.2,Clear,1,0,0,Moderate,0.074,0.931,Medium,2
ORD000920,CUST0649,WH009,DRV0163,VEH0022,2026-01-03,Trichy,Dispatched,Delivered,478.73,4.64,27.23,30.72,3.49,1,103.17,Saturday,1,3,1,Short,Medium,25.2,52.07,5.7,Light Rain,1,0,0,Moderate,0.128,0.886,Medium,2
ORD002316,CUST0575,WH010,DRV0098,VEH0037,2026-01-03,Chennai,Cancelled,Cancelled,225.62,16.35,,,,0,13.8,Saturday,1,3,1,Long,Low,28.12,60.89,0.71,Clear,1,0,0,Moderate,,,Low,1
ORD004916,CUST0285,WH001,DRV0199,VEH0089,2026-01-03,Madurai,Dispatched,Delivered,100.0,23.08,150.91,132.05,0.0,0,4.33,Saturday,1,3,1,Long,Low,31.82,65.24,9.43,Rain,1,0,0,Moderate,0.0,1.143,Low,1
ORD001254,CUST0061,WH007,DRV0037,VEH0109,2026-01-03,Erode,Dispatched,Delivered,458.82,7.25,36.72,35.82,0.0,0,63.29,Saturday,1,3,1,Medium,Medium,28.92,69.79,3.1,Light Rain,1,0,0,Moderate,0.0,1.025,Low,1
ORD004326,CUST0495,WH002,DRV0112,VEH0157,2026-01-03,Trichy,Dispatched,Delayed,311.97,2.36,29.42,29.35,0.0,1,132.19,Saturday,1,3,1,Short,Medium,25.2,52.07,5.7,Light Rain,1,0,0,Moderate,0.0,1.002,Medium,2
ORD001572,CUST0235,WH002,DRV0013,VEH0163,2026-01-03,Trichy,Processing,Delivered,360.3,7.56,48.44,51.94,3.5,1,47.66,Saturday,1,3,1,Medium,Medium,25.2,52.07,5.7,Light Rain,1,0,0,Moderate,0.072,0.933,Medium,2
ORD003178,CUST0226,WH009,DRV0196,VEH0188,2026-01-03,Madurai,Confirmed,Delivered,275.24,15.83,111.26,127.04,15.78,1,17.39,Saturday,1,3,1,Long,Medium,31.82,65.24,9.43,Rain,1,0,0,Moderate,0.142,0.876,Medium,2
ORD003698,CUST0271,WH006,DRV0163,VEH0048,2026-01-03,Vellore,Processing,Delivered,321.81,15.15,76.31,70.07,0.0,0,21.24,Saturday,1,3,1,Long,Medium,26.17,57.91,2.23,Light Rain,1,0,0,Moderate,0.0,1.089,Low,1
ORD004799,CUST0097,WH010,DRV0170,VEH0134,2026-01-03,Madurai,Dispatched,Delayed,195.63,9.52,51.71,46.13,0.0,1,20.55,Saturday,1,3,1,Medium,Low,31.82,65.24,9.43,Rain,1,0,0,Moderate,0.0,1.121,Medium,2
ORD004474,CUST0960,WH005,DRV0144,VEH0102,2026-01-03,Erode,Processing,Delivered,321.19,20.09,101.95,99.42,0.0,0,15.99,Saturday,1,3,1,Long,Medium,28.92,69.79,3.1,Light Rain,1,0,0,Moderate,0.0,1.025,Low,1
ORD004571,CUST0090,WH004,DRV0120,VEH0131,2026-01-03,Salem,Confirmed,Delayed,100.0,18.95,158.23,139.14,0.0,1,5.28,Saturday,1,3,1,Long,Low,32.56,73.11,4.19,Light Rain,1,0,0,Moderate,0.0,1.137,Medium,2
ORD004530,CUST0455,WH008,DRV0110,VEH0079,2026-01-03,Tirunelveli,Dispatched,In Transit,238.0,5.11,33.75,36.58,2.83,1,46.58,Saturday,1,3,1,Medium,Low,29.22,60.4,1.2,Clear,1,0,0,Moderate,0.084,0.923,Medium,2
ORD000886,CUST0211,WH008,DRV0105,VEH0125,2026-01-03,Madurai,Processing,In Transit,155.03,22.1,119.49,136.08,16.59,1,7.01,Saturday,1,3,1,Long,Low,31.82,65.24,9.43,Rain,1,0,0,Moderate,0.139,0.878,Medium,2
ORD002556,CUST0205,WH007,DRV0060,VEH0073,2026-01-04,Tirunelveli,Processing,Delivered,352.33,46.79,278.21,260.18,0.0,0,7.53,Sunday,1,4,1,Very Long,Medium,28.73,79.89,0.92,Clear,1,0,0,Moderate,0.0,1.069,Low,1
ORD004106,CUST0185,WH008,DRV0129,VEH0115,2026-01-04,Madurai,Processing,Delivered,271.38,14.84,93.93,91.31,0.0,0,18.29,Sunday,1,4,1,Medium,Medium,30.97,64.06,4.83,Light Rain,1,0,0,Moderate,0.0,1.029,Low,1
ORD004016,CUST0720,WH004,DRV0023,VEH0041,2026-01-04,Salem,Dispatched,Delivered,156.26,36.45,144.29,160.52,16.23,1,4.29,Sunday,1,4,1,Very Long,Low,30.98,85.77,4.19,Light Rain,1,0,1,Moderate,0.112,0.899,Medium,2
ORD001339,CUST0813,WH010,DRV0170,VEH0065,2026-01-04,Coimbatore,Processing,In Transit,502.55,4.87,39.41,42.39,2.98,1,103.19,Sunday,1,4,1,Short,High,23.73,75.96,2.6,Light Rain,1,0,0,Moderate,0.076,0.93,Medium,2
ORD002412,CUST0323,WH001,DRV0085,VEH0017,2026-01-04,Coimbatore,Dispatched,Delivered,148.76,12.91,56.85,60.52,3.67,1,11.52,Sunday,1,4,1,Medium,Low,23.73,75.96,2.6,Light Rain,1,0,0,Moderate,0.065,0.939,Medium,2
ORD002299,CUST0721,WH005,DRV0049,VEH0004,2026-01-04,Coimbatore,Dispatched,Delivered,100.0,19.87,79.73,77.38,0.0,0,5.03,Sunday,1,4,1,Long,Low,23.73,75.96,2.6,Light Rain,1,0,0,Moderate,0.0,1.03,Low,1
ORD002423,CUST0371,WH009,DRV0126,VEH0132,2026-01-04,Madurai,Dispatched,Delivered,144.59,10.75,44.69,44.11,0.0,0,13.45,Sunday,1,4,1,Medium,Low,30.97,64.06,4.83,Light Rain,1,0,0,Moderate,0.0,1.013,Low,1
ORD001044,CUST0311,WH008,DRV0062,VEH0086,2026-01-04,Vellore,Processing,Delivered,227.61,6.56,58.39,62.21,3.82,1,34.7,Sunday,1,4,1,Medium,Low,28.98,41.15,6.32,Light Rain,1,0,0,Moderate,0.065,0.939,Medium,2
ORD002812,CUST0546,WH008,DRV0028,VEH0044,2026-01-04,Erode,Confirmed,Delivered,293.65,23.09,91.44,99.56,8.12,1,12.72,Sunday,1,4,1,Long,Medium,31.47,58.43,11.99,Rain,1,0,0,Moderate,0.089,0.918,Medium,2
ORD001111,CUST0294,WH004,DRV0123,VEH0001,2026-01-04,Salem,Confirmed,Delayed,104.88,10.86,69.32,71.15,1.83,1,9.66,Sunday,1,4,1,Medium,Low,30.98,85.77,4.19,Light Rain,1,0,1,Moderate,0.026,0.974,Medium,2
ORD004594,CUST0313,WH006,DRV0090,VEH0060,2026-01-04,Madurai,Confirmed,Delivered,394.87,6.18,48.06,43.9,0.0,0,63.89,Sunday,1,4,1,Medium,Medium,30.97,64.06,4.83,Light Rain,1,0,0,Moderate,0.0,1.095,Low,1
ORD004983,CUST0414,WH004,DRV0005,VEH0132,2026-01-04,Tirunelveli,Dispatched,In Transit,105.15,11.98,77.76,86.16,8.4,1,8.78,Sunday,1,4,1,Medium,Low,28.73,79.89,0.92,Clear,1,0,0,Moderate,0.108,0.903,Medium,2
ORD004421,CUST0250,WH009,DRV0054,VEH0131,2026-01-04,Vellore,Dispatched,Delivered,332.82,4.74,43.95,40.08,0.0,0,70.22,Sunday,1,4,1,Short,Medium,28.98,41.15,6.32,Light Rain,1,0,0,Moderate,0.0,1.097,Low,1
ORD004444,CUST0052,WH006,DRV0177,VEH0134,2026-01-04,Salem,Dispatched,Delivered,247.15,24.69,107.29,112.27,4.98,1,10.01,Sunday,1,4,1,Long,Low,30.98,85.77,4.19,Light Rain,1,0,1,Moderate,0.046,0.956,Medium,2
ORD001857,CUST0836,WH010,DRV0002,VEH0068,2026-01-04,Chennai,Dispatched,Delivered,239.03,24.38,138.31,156.07,17.76,1,9.8,Sunday,1,4,1,Long,Low,32.31,65.44,6.09,Light Rain,1,0,0,Moderate,0.128,0.886,Medium,2
ORD004064,CUST0685,WH005,DRV0011,VEH0193,2026-01-05,Chennai,Dispatched,Delivered,194.46,29.38,217.58,206.45,0.0,0,6.62,Monday,1,5,0,Long,Low,30.31,77.54,7.98,Light Rain,1,0,0,Moderate,0.0,1.054,Low,1
ORD000436,CUST0422,WH007,DRV0013,VEH0113,2026-01-05,Erode,Confirmed,Delivered,200.44,14.82,102.97,100.88,0.0,0,13.52,Monday,1,5,0,Medium,Low,31.13,86.73,12.11,Rain,1,0,1,Moderate,0.0,1.021,Low,1
ORD000538,CUST0864,WH009,DRV0189,VEH0049,2026-01-05,Salem,Processing,Delivered,100.0,20.5,124.15,121.14,0.0,0,4.88,Monday,1,5,0,Long,Low,27.93,55.68,0.58,Clear,1,0,0,Moderate,0.0,1.025,Low,1
ORD004904,CUST0956,WH001,DRV0127,VEH0130,2026-01-05,Erode,Confirmed,Delivered,193.28,4.0,26.33,29.0,2.67,1,48.32,Monday,1,5,0,Short,Low,31.13,86.73,12.11,Rain,1,0,1,Moderate,0.101,0.908,Medium,2
ORD003579,CUST0015,WH002,DRV0082,VEH0144,2026-01-05,Coimbatore,Dispatched,Delivered,283.07,17.81,89.95,88.2,0.0,0,15.89,Monday,1,5,0,Long,Medium,28.21,82.87,12.58,Rain,1,0,1,Moderate,0.0,1.02,Low,1
ORD000969,CUST0035,WH004,DRV0026,VEH0114,2026-01-05,Madurai,Dispatched,Delivered,194.11,7.72,48.2,48.24,0.04,1,25.14,Monday,1,5,0,Medium,Low,24.25,73.69,8.31,Rain,1,0,0,Moderate,0.001,0.999,Medium,2
ORD004626,CUST0242,WH004,DRV0172,VEH0072,2026-01-05,Madurai,Dispatched,Delivered,144.79,3.97,29.43,33.54,4.11,1,36.47,Monday,1,5,0,Short,Low,24.25,73.69,8.31,Rain,1,0,0,Moderate,0.14,0.877,Medium,2
ORD002206,CUST0577,WH005,DRV0048,VEH0105,2026-01-05,Madurai,Dispatched,Delivered,136.06,20.37,83.11,86.42,3.31,1,6.68,Monday,1,5,0,Long,Low,24.25,73.69,8.31,Rain,1,0,0,Moderate,0.04,0.962,Medium,2
ORD001862,CUST0259,WH009,DRV0085,VEH0112,2026-01-05,Vellore,Dispatched,Delivered,180.63,6.14,61.22,55.18,0.0,0,29.42,Monday,1,5,0,Medium,Low,29.98,54.16,10.93,Rain,1,0,0,Moderate,0.0,1.109,Low,1
ORD004312,CUST0662,WH010,DRV0175,VEH0050,2026-01-05,Erode,Confirmed,Delivered,266.3,20.2,123.3,124.67,1.37,1,13.18,Monday,1,5,0,Long,Medium,31.13,86.73,12.11,Rain,1,0,1,Moderate,0.011,0.989,Medium,2
ORD001809,CUST0877,WH010,DRV0062,VEH0139,2026-01-05,Vellore,Dispatched,In Transit,447.34,7.52,81.89,77.95,0.0,0,59.49,Monday,1,5,0,Medium,Medium,29.98,54.16,10.93,Rain,1,0,0,Moderate,0.0,1.051,Low,1
ORD000291,CUST0969,WH002,DRV0108,VEH0029,2026-01-05,Coimbatore,Processing,Delivered,100.0,20.8,87.4,96.96,9.56,1,4.81,Monday,1,5,0,Long,Low,28.21,82.87,12.58,Rain,1,0,1,Moderate,0.109,0.901,Medium,2
ORD000442,CUST0726,WH004,DRV0042,VEH0107,2026-01-05,Vellore,Dispatched,Delivered,122.85,16.56,133.65,120.17,0.0,0,7.42,Monday,1,5,0,Long,Low,29.98,54.16,10.93,Rain,1,0,0,Moderate,0.0,1.112,Low,1
ORD002937,CUST0134,WH005,DRV0139,VEH0066,2026-01-05,Vellore,Confirmed,Delivered,166.62,18.58,76.36,81.33,4.97,1,8.97,Monday,1,5,0,Long,Low,29.98,54.16,10.93,Rain,1,0,0,Moderate,0.065,0.939,Medium,2
ORD004586,CUST0864,WH010,DRV0182,VEH0112,2026-01-06,Salem,Dispatched,Delivered,204.65,17.96,92.82,96.28,3.46,1,11.39,Tuesday,1,6,0,Long,Low,27.95,81.22,8.17,Rain,1,0,1,Moderate,0.037,0.964,Medium,2
ORD004536,CUST0393,WH007,DRV0091,VEH0001,2026-01-06,Madurai,Processing,Delivered,297.02,18.78,115.9,120.05,4.15,1,15.82,Tuesday,1,6,0,Long,Medium,24.01,75.63,8.06,Rain,1,0,0,Moderate,0.036,0.965,Medium,2
ORD000672,CUST0256,WH010,DRV0141,VEH0040,2026-01-06,Madurai,Processing,Delivered,238.89,11.91,61.0,53.96,0.0,0,20.06,Tuesday,1,6,0,Medium,Low,24.01,75.63,8.06,Rain,1,0,0,Moderate,0.0,1.13,Low,1
ORD003501,CUST0135,WH003,DRV0027,VEH0176,2026-01-06,Salem,Dispatched,Delivered,744.46,7.14,70.16,64.5,0.0,0,104.27,Tuesday,1,6,0,Medium,High,27.95,81.22,8.17,Rain,1,0,1,Moderate,0.0,1.088,Low,1
ORD002080,CUST0188,WH002,DRV0063,VEH0141,2026-01-06,Madurai,Dispatched,Delivered,258.88,12.44,99.13,91.27,0.0,0,20.81,Tuesday,1,6,0,Medium,Medium,24.01,75.63,8.06,Rain,1,0,0,Moderate,0.0,1.086,Low,1
ORD003261,CUST0579,WH003,DRV0082,VEH0010,2026-01-06,Salem,Dispatched,Delivered,261.01,19.43,97.61,88.72,0.0,0,13.43,Tuesday,1,6,0,Long,Medium,27.95,81.22,8.17,Rain,1,0,1,Moderate,0.0,1.1,Low,1
ORD000824,CUST0273,WH007,DRV0044,VEH0167,2026-01-06,Madurai,Confirmed,Delivered,217.12,9.1,78.33,69.47,0.0,0,23.86,Tuesday,1,6,0,Medium,Low,24.01,75.63,8.06,Rain,1,0,0,Moderate,0.0,1.128,Low,1
ORD004642,CUST0415,WH009,DRV0158,VEH0038,2026-01-06,Erode,Processing,Delivered,418.91,14.3,77.79,72.56,0.0,0,29.29,Tuesday,1,6,0,Medium,Medium,31.55,87.88,0.64,Cloudy,1,0,1,Moderate,0.0,1.072,Low,1
ORD004546,CUST0638,WH004,DRV0152,VEH0020,2026-01-06,Vellore,Processing,In Transit,100.0,10.9,65.99,70.91,4.92,1,9.17,Tuesday,1,6,0,Medium,Low,30.05,64.76,4.74,Light Rain,1,0,0,Moderate,0.075,0.931,Medium,2
ORD003126,CUST0077,WH007,DRV0094,VEH0169,2026-01-06,Trichy,Confirmed,Delivered,208.96,2.29,16.73,16.99,0.26,1,91.25,Tuesday,1,6,0,Short,Low,30.84,57.5,10.69,Rain,1,0,0,Moderate,0.016,0.985,Medium,2
ORD002819,CUST0054,WH004,DRV0104,VEH0045,2026-01-06,Vellore,Confirmed,Delivered,389.27,14.99,95.9,107.14,11.24,1,25.97,Tuesday,1,6,0,Medium,Medium,30.05,64.76,4.74,Light Rain,1,0,0,Moderate,0.117,0.895,Medium,2
ORD004317,CUST0067,WH005,DRV0053,VEH0102,2026-01-06,Trichy,Dispatched,Delivered,237.39,12.48,103.02,98.19,0.0,0,19.02,Tuesday,1,6,0,Medium,Low,30.84,57.5,10.69,Rain,1,0,0,Moderate,0.0,1.049,Low,1
