vehicle_id,vehicle_type,driver_id,fuel_type,capacity_kg,manufacture_year,maintenance_status,vehicle_status,odometer_km
VEH0159,Truck,DRV0159,Petrol,5000,2017,Maintenance Required,Idle,40043
VEH0160,Mini Truck,DRV0160,CNG,1500,2019,Due Soon,Active,36149
VEH0161,Truck,DRV0161,Petrol,5000,2025,Good,Active,153423
VEH0162,Van,DRV0162,Petrol,750,2017,Good,Active,241534
VEH0163,Van,DRV0163,Diesel,500,2022,Good,Active,62296
VEH0164,Mini Truck,DRV0164,CNG,1000,2025,Good,Idle,129647
VEH0165,Van,DRV0165,Electric,750,2018,Good,In Transit,199807
VEH0166,Refrigerated Truck,DRV0166,Petrol,5000,2019,Good,Maintenance,47643
VEH0167,Van,DRV0167,CNG,750,2017,Due Soon,In Transit,60652
VEH0168,Refrigerated Truck,DRV0168,Petrol,5000,2019,Good,In Transit,201174
VEH0169,Mini Truck,DRV0169,CNG,2000,2022,Good,Active,203728
VEH0170,Van,DRV0170,Petrol,500,2018,Good,In Transit,69663
VEH0171,Mini Truck,DRV0171,Electric,1500,2020,Good,In Transit,26868
VEH0172,Truck,DRV0172,Diesel,3000,2024,Good,Active,239186
VEH0173,Mini Truck,DRV0173,Diesel,1500,2019,Good,Maintenance,182608
VEH0174,Mini Truck,DRV0174,CNG,2000,2019,Good,Active,99533
VEH0175,Refrigerated Truck,DRV0175,Petrol,3000,2017,Good,Idle,150849
VEH0176,Van,DRV0176,Diesel,1000,2024,Under Maintenance,Active,66846
VEH0177,Van,DRV0177,Electric,1000,2022,Good,In Transit,42930
VEH0178,Truck,DRV0178,Diesel,2000,2024,Good,Idle,146250
VEH0179,Truck,DRV0179,Diesel,3000,2024,Good,Active,163185
VEH0180,Mini Truck,DRV0180,Electric,2000,2020,Good,Active,101323
VEH0181,Refrigerated Truck,DRV0181,Petrol,2000,2024,Good,Active,69257
VEH0182,Mini Truck,DRV0182,CNG,1000,2020,Maintenance Required,Maintenance,190507
VEH0183,Mini Truck,DRV0183,Diesel,1000,2023,Good,Active,119297
VEH0184,Van,DRV0184,Diesel,500,2019,Maintenance Required,Idle,5919
VEH0185,Refrigerated Truck,DRV0185,Petrol,3000,2024,Good,In Transit,217579
VEH0186,Refrigerated Truck,DRV0186,Petrol,5000,2023,Maintenance Required,In Transit,162643
VEH0187,Mini Truck,DRV0187,Diesel,1000,2020,Good,Idle,246804
VEH0188,Truck,DRV0188,Electric,5000,2018,Good,Active,50099
VEH0189,Van,DRV0189,CNG,750,2020,Due Soon,Active,109282
VEH0190,Refrigerated Truck,DRV0190,Electric,2000,2024,Under Maintenance,Active,148727
VEH0191,Van,DRV0191,Diesel,500,2018,Due Soon,Active,124433
VEH0192,Van,DRV0192,CNG,1000,2021,Good,Active,27726
VEH0193,Van,DRV0193,Petrol,500,2017,Due Soon,Maintenance,97760
VEH0194,Mini Truck,DRV0194,Diesel,1500,2025,Good,Active,31382
VEH0195,Truck,DRV0195,Diesel,3000,2019,Good,Active,189132
VEH0196,Van,DRV0196,Petrol,750,2018,Maintenance Required,Active,163972
VEH0197,Mini Truck,DRV0197,Electric,1500,2024,Under Maintenance,Active,40389
VEH0198,Refrigerated Truck,DRV0198,Electric,5000,2023,Due Soon,Active,153466
VEH0199,Mini Truck,DRV0199,Electric,1500,2025,Due Soon,In Transit,173973
VEH0200,Truck,DRV0200,CNG,2000,2017,Good,In Transit,224389
