event_id,order_id,driver_id,vehicle_id,event_timestamp,region,event_type,delivery_status,delay_minutes,source
EVT0000091,ORD004766,DRV0098,VEH0060,2026-08-27 10:20:00,Coimbatore,DELIVERED,Delivered,0,Driver App
EVT0000092,ORD003270,DRV0115,VEH0140,2026-08-18 13:58:00,Erode,DELIVERED,Delivered,0,Warehouse System
EVT0000093,ORD002373,DRV0170,VEH0194,2026-08-29 23:08:00,Madurai,TRANSIT,In Transit,0,GPS Device
EVT0000094,ORD001570,DRV0153,VEH0181,2026-08-12 16:31:00,Chennai,DELIVERED,Delivered,0,Driver App
EVT0000095,ORD002067,DRV0159,VEH0186,2026-08-22 06:01:00,Trichy,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000096,ORD002470,DRV0018,VEH0091,2026-08-27 08:06:00,Madurai,DELIVERED,Delivered,0,Driver App
EVT0000097,ORD002243,DRV0034,VEH0066,2026-08-15 01:54:00,Salem,OUT_FOR_DELIVERY,Out for Delivery,0,Driver App
EVT0000098,ORD004680,DRV0113,VEH0153,2026-08-30 03:32:00,Salem,OUT_FOR_DELIVERY,Out for Delivery,0,Driver App
EVT0000099,ORD004870,DRV0190,VEH0006,2026-08-25 17:26:00,Vellore,DELAYED,Delayed,118,Driver App
EVT0000100,ORD004222,DRV0016,VEH0078,2026-08-25 18:06:00,Madurai,TRANSIT,In Transit,0,GPS Device
EVT0000101,ORD003384,DRV0125,VEH0049,2026-08-01 22:44:00,Vellore,PICKUP,Picked Up,0,Driver App
EVT0000102,ORD000152,DRV0148,VEH0162,2026-08-09 16:52:00,Vellore,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000103,ORD002843,DRV0024,VEH0019,2026-08-15 15:01:00,Trichy,OUT_FOR_DELIVERY,Out for Delivery,0,Warehouse System
EVT0000104,ORD001035,DRV0168,VEH0011,2026-08-24 20:29:00,Chennai,OUT_FOR_DELIVERY,Out for Delivery,0,Mobile App
EVT0000105,ORD004468,DRV0011,VEH0156,2026-08-11 18:13:00,Vellore,PICKUP,Picked Up,0,GPS Device
EVT0000106,ORD004363,DRV0139,VEH0197,2026-08-27 07:04:00,Chennai,DELIVERED,Delivered,0,GPS Device
EVT0000107,ORD003058,DRV0114,VEH0082,2026-08-16 22:22:00,Chennai,DELIVERY_FAILED,Failed,172,GPS Device
EVT0000108,ORD003572,DRV0110,VEH0153,2026-08-18 13:01:00,Vellore,TRANSIT,In Transit,0,Warehouse System
EVT0000109,ORD004534,DRV0010,VEH0139,2026-08-15 18:27:00,Tirunelveli,TRANSIT,In Transit,0,GPS Device
EVT0000110,ORD001498,DRV0097,VEH0188,2026-08-27 11:57:00,Vellore,DELAYED,Delayed,163,GPS Device
EVT0000111,ORD004119,DRV0037,VEH0138,2026-08-02 09:45:00,Vellore,DELIVERED,Delivered,0,Mobile App
EVT0000112,ORD004496,DRV0172,VEH0038,2026-08-20 14:21:00,Trichy,DELIVERED,Delivered,0,GPS Device
EVT0000113,ORD000062,DRV0199,VEH0068,2026-08-18 14:35:00,Coimbatore,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000114,ORD004180,DRV0176,VEH0134,2026-08-05 20:16:00,Vellore,DELIVERED,Delivered,0,Driver App
EVT0000115,ORD002558,DRV0134,VEH0139,2026-08-24 21:41:00,Salem,OUT_FOR_DELIVERY,Out for Delivery,0,Mobile App
EVT0000116,ORD002899,DRV0104,VEH0038,2026-08-08 15:11:00,Coimbatore,TRANSIT,In Transit,0,Warehouse System
EVT0000117,ORD001485,DRV0168,VEH0133,2026-08-08 20:46:00,Salem,TRANSIT,In Transit,0,Driver App
EVT0000118,ORD004674,DRV0166,VEH0190,2026-08-30 00:30:00,Chennai,DELIVERED,Delivered,0,Warehouse System
EVT0000119,ORD002434,DRV0196,VEH0061,2026-08-16 12:37:00,Madurai,TRANSIT,In Transit,0,Mobile App
EVT0000120,ORD000648,DRV0060,VEH0053,2026-08-17 15:32:00,Trichy,DELAYED,Delayed,136,GPS Device
EVT0000121,ORD004061,DRV0173,VEH0023,2026-08-26 13:29:00,Salem,DELIVERED,Delivered,0,GPS Device
EVT0000122,ORD001580,DRV0107,VEH0140,2026-08-17 19:13:00,Tirunelveli,PICKUP,Picked Up,0,GPS Device
EVT0000123,ORD002085,DRV0086,VEH0196,2026-08-20 19:01:00,Salem,OUT_FOR_DELIVERY,Out for Delivery,0,Mobile App
EVT0000124,ORD004999,DRV0037,VEH0153,2026-08-27 03:47:00,Madurai,PICKUP,Picked Up,0,Mobile App
EVT0000125,ORD002879,DRV0112,VEH0079,2026-08-22 03:42:00,Coimbatore,TRANSIT,In Transit,0,Mobile App
EVT0000126,ORD003898,DRV0079,VEH0001,2026-08-04 02:48:00,Chennai,TRANSIT,In Transit,0,GPS Device
EVT0000127,ORD000207,DRV0141,VEH0137,2026-08-09 08:03:00,Salem,TRANSIT,In Transit,0,GPS Device
EVT0000128,ORD002298,DRV0162,VEH0186,2026-08-04 09:54:00,Chennai,DELIVERED,Delivered,0,Warehouse System
EVT0000129,ORD004379,DRV0021,VEH0114,2026-08-18 20:08:00,Coimbatore,DELAYED,Delayed,146,Driver App
EVT0000130,ORD000673,DRV0014,VEH0162,2026-08-15 13:31:00,Erode,TRANSIT,In Transit,0,GPS Device
EVT0000131,ORD000417,DRV0162,VEH0094,2026-08-27 11:31:00,Salem,OUT_FOR_DELIVERY,Out for Delivery,0,Driver App
EVT0000132,ORD004367,DRV0043,VEH0114,2026-08-13 08:32:00,Salem,OUT_FOR_DELIVERY,Out for Delivery,0,Driver App
EVT0000133,ORD000588,DRV0180,VEH0068,2026-08-18 17:14:00,Madurai,DELIVERED,Delivered,0,GPS Device
EVT0000134,ORD001874,DRV0060,VEH0178,2026-08-28 17:26:00,Salem,TRANSIT,In Transit,0,Mobile App
EVT0000135,ORD001987,DRV0031,VEH0085,2026-08-23 07:32:00,Trichy,TRANSIT,In Transit,0,Warehouse System
EVT0000136,ORD002625,DRV0118,VEH0190,2026-08-30 13:17:00,Erode,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000137,ORD002251,DRV0081,VEH0062,2026-08-16 11:32:00,Salem,DELAYED,Delayed,65,Mobile App
EVT0000138,ORD001818,DRV0076,VEH0005,2026-08-07 08:28:00,Chennai,DELIVERED,Delivered,0,Driver App
EVT0000139,ORD001371,DRV0120,VEH0001,2026-08-31 08:57:00,Erode,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000140,ORD000232,DRV0068,VEH0107,2026-08-31 15:09:00,Erode,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000141,ORD003567,DRV0165,VEH0196,2026-08-11 08:22:00,Madurai,TRANSIT,In Transit,0,Driver App
EVT0000142,ORD003049,DRV0067,VEH0108,2026-08-06 13:46:00,Vellore,TRANSIT,In Transit,0,Warehouse System
EVT0000143,ORD004042,DRV0183,VEH0040,2026-08-11 05:22:00,Vellore,OUT_FOR_DELIVERY,Out for Delivery,0,Mobile App
EVT0000144,ORD002899,DRV0029,VEH0159,2026-08-18 17:03:00,Tirunelveli,DELIVERED,Delivered,0,Mobile App
EVT0000145,ORD000917,DRV0146,VEH0096,2026-08-16 21:58:00,Tirunelveli,DELIVERED,Delivered,0,Mobile App
EVT0000146,ORD000065,DRV0077,VEH0146,2026-08-28 10:24:00,Salem,PICKUP,Picked Up,0,Warehouse System
EVT0000147,ORD001533,DRV0113,VEH0151,2026-08-08 21:53:00,Trichy,DELIVERED,Delivered,0,Warehouse System
EVT0000148,ORD002708,DRV0068,VEH0149,2026-08-17 16:20:00,Erode,DELIVERED,Delivered,0,GPS Device
EVT0000149,ORD000704,DRV0058,VEH0171,2026-08-23 03:18:00,Vellore,TRANSIT,In Transit,0,Driver App
EVT0000150,ORD003763,DRV0011,VEH0167,2026-08-25 18:31:00,Erode,DELIVERY_FAILED,Failed,125,Mobile App
EVT0000151,ORD003426,DRV0085,VEH0122,2026-08-10 21:31:00,Tirunelveli,DELIVERED,Delivered,0,GPS Device
EVT0000152,ORD002316,DRV0005,VEH0191,2026-08-16 15:32:00,Vellore,DELAYED,Delayed,160,Driver App
EVT0000153,ORD000670,DRV0143,VEH0109,2026-08-04 21:53:00,Trichy,TRANSIT,In Transit,0,Driver App
EVT0000154,ORD002116,DRV0012,VEH0118,2026-08-29 07:52:00,Chennai,PICKUP,Picked Up,0,Warehouse System
EVT0000155,ORD002496,DRV0021,VEH0070,2026-08-22 23:58:00,Madurai,DELIVERED,Delivered,0,Driver App
EVT0000156,ORD003958,DRV0057,VEH0140,2026-08-29 00:12:00,Salem,DELAYED,Delayed,173,Warehouse System
EVT0000157,ORD002434,DRV0162,VEH0168,2026-08-04 09:03:00,Chennai,PICKUP,Picked Up,0,Mobile App
EVT0000158,ORD000609,DRV0126,VEH0134,2026-08-27 14:16:00,Vellore,DELAYED,Delayed,26,Warehouse System
EVT0000159,ORD003856,DRV0124,VEH0107,2026-08-26 11:03:00,Coimbatore,DELIVERED,Delivered,0,Warehouse System
EVT0000160,ORD001608,DRV0021,VEH0017,2026-08-04 00:18:00,Madurai,DELAYED,Delayed,121,GPS Device
EVT0000161,ORD004315,DRV0080,VEH0001,2026-08-09 17:30:00,Trichy,TRANSIT,In Transit,0,Driver App
EVT0000162,ORD002767,DRV0164,VEH0199,2026-08-09 02:13:00,Madurai,TRANSIT,In Transit,0,Driver App
EVT0000163,ORD002461,DRV0162,VEH0192,2026-08-21 14:47:00,Madurai,TRANSIT,In Transit,0,Driver App
EVT0000164,ORD003797,DRV0026,VEH0187,2026-08-15 07:44:00,Madurai,TRANSIT,In Transit,0,Mobile App
EVT0000165,ORD002941,DRV0138,VEH0081,2026-08-15 17:12:00,Salem,OUT_FOR_DELIVERY,Out for Delivery,0,Warehouse System
EVT0000166,ORD001401,DRV0179,VEH0006,2026-08-25 15:31:00,Salem,TRANSIT,In Transit,0,Driver App
EVT0000167,ORD000387,DRV0033,VEH0180,2026-08-07 06:46:00,Madurai,DELIVERED,Delivered,0,Mobile App
EVT0000168,ORD004594,DRV0155,VEH0120,2026-08-10 23:38:00,Vellore,TRANSIT,In Transit,0,GPS Device
EVT0000169,ORD002763,DRV0026,VEH0119,2026-08-19 14:05:00,Salem,DELIVERED,Delivered,0,Warehouse System
EVT0000170,ORD004124,DRV0087,VEH0173,2026-08-28 00:17:00,Tirunelveli,DELIVERED,Delivered,0,GPS Device
EVT0000171,ORD001025,DRV0155,VEH0077,2026-08-28 20:05:00,Coimbatore,TRANSIT,In Transit,0,GPS Device
EVT0000172,ORD001566,DRV0102,VEH0094,2026-08-13 10:38:00,Trichy,OUT_FOR_DELIVERY,Out for Delivery,0,Driver App
EVT0000173,ORD004069,DRV0031,VEH0076,2026-08-14 01:24:00,Erode,OUT_FOR_DELIVERY,Out for Delivery,0,Warehouse System
EVT0000174,ORD003063,DRV0002,VEH0120,2026-08-30 04:28:00,Coimbatore,DELIVERED,Delivered,0,Driver App
EVT0000175,ORD003849,DRV0188,VEH0130,2026-08-14 06:32:00,Salem,PICKUP,Picked Up,0,Driver App
EVT0000176,ORD001862,DRV0171,VEH0059,2026-08-05 15:13:00,Madurai,DELIVERED,Delivered,0,GPS Device
EVT0000177,ORD004544,DRV0031,VEH0052,2026-08-29 09:47:00,Vellore,TRANSIT,In Transit,0,Mobile App
EVT0000178,ORD001744,DRV0173,VEH0047,2026-08-27 15:15:00,Tirunelveli,DELIVERED,Delivered,0,GPS Device
EVT0000179,ORD004371,DRV0001,VEH0110,2026-08-22 09:58:00,Tirunelveli,DELIVERED,Delivered,0,Mobile App
EVT0000180,ORD003100,DRV0184,VEH0002,2026-08-27 18:02:00,Vellore,PICKUP,Picked Up,0,GPS Device
EVT0000181,ORD001461,DRV0193,VEH0080,2026-08-30 22:19:00,Erode,DELIVERED,Delivered,0,Warehouse System
EVT0000182,ORD002280,DRV0005,VEH0176,2026-08-17 02:10:00,Coimbatore,OUT_FOR_DELIVERY,Out for Delivery,0,Mobile App
EVT0000183,ORD002081,DRV0015,VEH0128,2026-08-28 23:26:00,Vellore,DELIVERED,Delivered,0,GPS Device
EVT0000184,ORD001480,DRV0110,VEH0184,2026-08-27 15:51:00,Coimbatore,DELIVERED,Delivered,0,GPS Device
EVT0000185,ORD004062,DRV0034,VEH0011,2026-08-07 05:40:00,Chennai,TRANSIT,In Transit,0,Driver App
EVT0000186,ORD002711,DRV0088,VEH0020,2026-08-02 20:08:00,Coimbatore,TRANSIT,In Transit,0,GPS Device
EVT0000187,ORD004877,DRV0146,VEH0039,2026-08-19 19:28:00,Vellore,TRANSIT,In Transit,0,Driver App
EVT0000188,ORD002719,DRV0032,VEH0061,2026-08-14 10:00:00,Madurai,TRANSIT,In Transit,0,GPS Device
EVT0000189,ORD002873,DRV0121,VEH0128,2026-08-31 07:24:00,Trichy,DELAYED,Delayed,172,Driver App
EVT0000190,ORD004830,DRV0056,VEH0109,2026-08-12 23:47:00,Coimbatore,DELIVERY_FAILED,Failed,35,Driver App
EVT0000191,ORD000506,DRV0121,VEH0136,2026-08-08 16:56:00,Trichy,TRANSIT,In Transit,0,Warehouse System
EVT0000192,ORD000284,DRV0158,VEH0147,2026-08-30 18:56:00,Vellore,TRANSIT,In Transit,0,Driver App
EVT0000193,ORD003134,DRV0176,VEH0151,2026-08-11 17:19:00,Salem,TRANSIT,In Transit,0,Driver App
EVT0000194,ORD001897,DRV0024,VEH0013,2026-08-01 13:12:00,Coimbatore,TRANSIT,In Transit,0,GPS Device
EVT0000195,ORD002377,DRV0138,VEH0020,2026-08-25 17:09:00,Chennai,DELIVERED,Delivered,0,Mobile App
EVT0000196,ORD002139,DRV0040,VEH0073,2026-08-25 11:34:00,Salem,TRANSIT,In Transit,0,GPS Device
EVT0000197,ORD004295,DRV0184,VEH0028,2026-08-18 08:12:00,Coimbatore,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000198,ORD003660,DRV0006,VEH0064,2026-08-12 20:05:00,Coimbatore,TRANSIT,In Transit,0,Driver App
EVT0000199,ORD001316,DRV0138,VEH0007,2026-08-03 22:46:00,Trichy,OUT_FOR_DELIVERY,Out for Delivery,0,Warehouse System
EVT0000200,ORD003125,DRV0125,VEH0133,2026-08-02 06:01:00,Chennai,DELIVERY_FAILED,Failed,139,GPS Device
EVT0000201,ORD002722,DRV0077,VEH0034,2026-08-02 14:34:00,Tirunelveli,DELAYED,Delayed,52,GPS Device
EVT0000202,ORD004938,DRV0021,VEH0193,2026-08-09 18:35:00,Trichy,DELIVERED,Delivered,0,Mobile App
EVT0000203,ORD004772,DRV0024,VEH0112,2026-08-21 04:41:00,Chennai,OUT_FOR_DELIVERY,Out for Delivery,0,Driver App
EVT0000204,ORD004253,DRV0135,VEH0090,2026-08-22 23:47:00,Chennai,DELIVERED,Delivered,0,GPS Device
EVT0000205,ORD000322,DRV0036,VEH0056,2026-08-26 11:17:00,Trichy,PICKUP,Picked Up,0,GPS Device
EVT0000206,ORD003846,DRV0117,VEH0177,2026-08-12 12:10:00,Erode,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000207,ORD001082,DRV0101,VEH0101,2026-08-12 06:40:00,Madurai,TRANSIT,In Transit,0,GPS Device
EVT0000208,ORD003789,DRV0072,VEH0115,2026-08-18 22:33:00,Madurai,DELIVERED,Delivered,0,Mobile App
EVT0000209,ORD003953,DRV0138,VEH0044,2026-08-22 04:07:00,Erode,OUT_FOR_DELIVERY,Out for Delivery,0,Driver App
EVT0000210,ORD002413,DRV0015,VEH0183,2026-08-01 09:01:00,Madurai,TRANSIT,In Transit,0,Driver App
EVT0000211,ORD002990,DRV0043,VEH0124,2026-08-07 10:36:00,Madurai,DELIVERED,Delivered,0,Mobile App
EVT0000212,ORD002632,DRV0152,VEH0196,2026-08-31 12:00:00,Salem,TRANSIT,In Transit,0,Warehouse System
