order_id,customer_id,warehouse_id,driver_id,vehicle_id,order_date,region,delivery_status,order_value,delivery_distance_km,promised_delivery_time_min,actual_delivery_time_min,delivery_delay_min,is_delayed,temperature_c,humidity_pct,rainfall_mm,weather_condition,weather_risk,delivery_risk
ORD001149,CUST0139,WH005,DRV0116,VEH0184,2026-05-28,Tirunelveli,Delayed,238.25,16.18,75.86,85.63,9.77,1,26.73,60.99,1.22,Clear,Moderate,Medium
ORD001055,CUST0131,WH009,DRV0074,VEH0068,2026-05-30,Chennai,Delivered,124.21,8.44,53.08,62.14,9.06,1,32.92,53.65,1.44,Clear,Moderate,Medium
ORD004029,CUST0479,WH001,DRV0189,VEH0009,2026-06-01,Chennai,Delivered,100.0,13.56,121.48,128.44,6.96,1,33.19,76.61,6.56,Light Rain,Moderate,Medium
ORD001913,CUST0601,WH004,DRV0184,VEH0069,2026-06-04,Salem,Delivered,124.66,41.79,148.91,148.18,0.0,0,33.81,59.8,7.78,Light Rain,Moderate,Low
ORD003224,CUST0271,WH001,DRV0009,VEH0121,2026-06-05,Erode,Delivered,168.74,11.89,128.74,114.19,0.0,0,30.1,60.97,2.9,Light Rain,Moderate,Low
ORD003339,CUST0782,WH007,DRV0078,VEH0130,2026-06-08,Salem,Delayed,167.06,3.3,48.53,56.12,7.59,1,31.21,67.26,0.6,Clear,Moderate,Medium
ORD000563,CUST0070,WH005,DRV0037,VEH0056,2026-06-10,Tirunelveli,Delivered,100.0,5.0,43.47,46.74,3.27,1,32.39,41.11,2.51,Light Rain,Moderate,Medium
ORD003744,CUST0519,WH004,DRV0059,VEH0180,2026-06-12,Trichy,Delivered,197.78,2.48,25.06,24.63,0.0,0,34.17,82.41,2.67,Light Rain,Moderate,Low
ORD001616,CUST0817,WH002,DRV0111,VEH0135,2026-06-15,Chennai,Delivered,237.84,31.86,115.63,118.52,2.89,1,28.97,59.26,0.18,Clear,Moderate,Medium
ORD004658,CUST0741,WH010,DRV0176,VEH0113,2026-06-17,Vellore,Delivered,218.23,11.92,88.81,99.82,11.01,1,30.07,58.67,1.8,Clear,Moderate,Medium
ORD002639,CUST0632,WH002,DRV0120,VEH0037,2026-06-20,Tirunelveli,Delivered,255.55,24.76,98.78,106.9,8.12,1,31.69,31.15,2.03,Light Rain,Moderate,Medium
ORD000875,CUST0489,WH008,DRV0078,VEH0133,2026-06-22,Salem,Delivered,150.42,19.85,83.34,90.17,6.83,1,38.12,85.97,1.32,Cloudy,Moderate,Medium
ORD002437,CUST0388,WH008,DRV0180,VEH0002,2026-06-25,Coimbatore,Delivered,117.38,32.58,166.04,166.11,0.07,1,30.37,53.75,1.77,Clear,Moderate,Medium
ORD001605,CUST0184,WH008,DRV0003,VEH0091,2026-06-27,Trichy,In Transit,172.48,25.11,150.06,166.1,16.04,1,37.04,79.53,1.14,Clear,Moderate,Medium
ORD003461,CUST0001,WH006,DRV0143,VEH0074,2026-06-30,Coimbatore,Delivered,111.37,9.89,34.64,32.6,0.0,0,35.21,45.88,3.45,Light Rain,Moderate,Low
ORD000991,CUST0334,WH008,DRV0054,VEH0149,2026-07-03,Salem,Delivered,197.71,15.97,75.55,88.03,12.48,1,30.73,77.43,10.56,Rain,Moderate,Medium
ORD002501,CUST0409,WH008,DRV0108,VEH0011,2026-07-06,Salem,Delivered,551.96,12.95,53.15,60.56,7.41,1,31.11,77.89,4.31,Light Rain,Moderate,Medium
ORD001661,CUST0530,WH004,DRV0141,VEH0149,2026-07-08,Coimbatore,Delayed,274.14,14.28,83.58,77.83,0.0,1,30.09,78.31,10.26,Rain,Moderate,Medium
ORD002125,CUST0873,WH008,DRV0148,VEH0037,2026-07-11,Trichy,In Transit,127.55,3.65,40.1,45.69,5.59,1,30.58,77.24,27.67,Heavy Rain,High,High
ORD004100,CUST0167,WH001,DRV0019,VEH0033,2026-07-13,Chennai,In Transit,180.62,7.07,49.01,47.24,0.0,0,31.23,65.08,19.61,Rain,Moderate,Low
ORD003362,CUST0777,WH004,DRV0128,VEH0178,2026-07-16,Trichy,In Transit,152.95,9.52,72.33,78.81,6.48,1,30.4,73.57,11.99,Rain,Moderate,Medium
ORD003865,CUST0537,WH006,DRV0149,VEH0049,2026-07-18,Chennai,Cancelled,131.64,21.33,,,,0,29.91,76.32,4.85,Light Rain,Moderate,Low
ORD002143,CUST0314,WH004,DRV0047,VEH0192,2026-07-20,Erode,Delivered,149.09,14.95,87.67,99.49,11.82,1,29.59,66.6,2.01,Light Rain,Moderate,Medium
ORD001450,CUST0026,WH008,DRV0164,VEH0033,2026-07-23,Chennai,Delivered,139.36,7.7,50.32,58.3,7.98,1,30.85,67.56,9.83,Rain,Moderate,Medium
ORD004160,CUST0462,WH005,DRV0191,VEH0022,2026-07-25,Tirunelveli,Delivered,309.0,7.27,55.83,56.36,0.53,1,29.08,70.62,25.82,Heavy Rain,High,High
ORD003764,CUST0328,WH008,DRV0028,VEH0193,2026-07-28,Madurai,Delivered,681.62,7.3,49.52,53.0,3.48,1,37.65,76.03,13.26,Rain,Moderate,Medium
ORD000173,CUST0020,WH008,DRV0090,VEH0074,2026-07-31,Madurai,Delivered,101.46,5.32,31.54,37.04,5.5,1,30.41,66.39,0.23,Clear,Moderate,Medium
ORD000817,CUST0737,WH004,DRV0002,VEH0010,2026-08-02,Salem,In Transit,111.47,14.3,79.19,69.1,0.0,0,28.74,72.81,7.44,Light Rain,Moderate,Low
ORD002805,CUST0235,WH002,DRV0109,VEH0021,2026-08-04,Chennai,Delivered,270.84,10.33,93.64,97.68,4.04,1,28.62,57.79,3.12,Light Rain,Moderate,Medium
ORD003752,CUST0793,WH004,DRV0104,VEH0077,2026-08-06,Salem,Delivered,203.98,2.44,34.9,37.5,2.6,1,30.04,72.51,8.7,Rain,Moderate,Medium
ORD001006,CUST0030,WH004,DRV0147,VEH0076,2026-08-09,Coimbatore,Delivered,271.98,25.47,155.98,166.31,10.33,1,31.51,71.18,25.38,Heavy Rain,High,High
ORD004771,CUST0143,WH002,DRV0167,VEH0127,2026-08-11,Vellore,Delivered,303.97,14.51,96.33,98.19,1.86,1,32.66,67.19,7.62,Light Rain,Moderate,Medium
ORD000487,CUST0600,WH002,DRV0063,VEH0011,2026-08-14,Salem,Delivered,779.22,7.16,54.5,48.73,0.0,0,27.67,52.59,7.13,Light Rain,Moderate,Low
ORD001811,CUST0642,WH003,DRV0098,VEH0161,2026-08-16,Coimbatore,Delivered,100.0,27.92,143.69,153.21,9.52,1,27.68,48.03,0.47,Clear,Moderate,Medium
ORD004438,CUST0998,WH010,DRV0003,VEH0146,2026-08-19,Vellore,Delivered,354.27,5.09,42.69,48.48,5.79,1,29.47,69.37,24.75,Rain,High,High
ORD003252,CUST0276,WH008,DRV0147,VEH0171,2026-08-21,Chennai,In Transit,100.0,6.49,67.21,60.83,0.0,0,27.49,73.89,7.47,Light Rain,Moderate,Low
ORD004918,CUST0294,WH007,DRV0048,VEH0082,2026-08-24,Madurai,Delivered,100.0,5.72,65.83,60.73,0.0,0,31.2,80.16,9.68,Rain,Moderate,Low
ORD000304,CUST0266,WH009,DRV0183,VEH0033,2026-08-26,Salem,Delivered,100.0,20.71,92.34,99.09,6.75,1,24.23,61.67,5.82,Light Rain,Moderate,Medium
ORD001075,CUST0861,WH003,DRV0091,VEH0052,2026-08-29,Madurai,Delivered,133.99,23.84,92.96,96.46,3.5,1,33.27,73.32,13.77,Rain,Moderate,Medium
ORD003264,CUST0794,WH003,DRV0159,VEH0084,2026-08-31,Vellore,Delivered,117.51,3.92,41.15,36.72,0.0,0,27.67,73.19,8.89,Rain,Moderate,Low
